id,maker,model,mileage,manufacture_year,engine_displacement,engine_power,color_slug,transmission,door_count,seat_count,fuel_type,price_eur
3539233,skoda,superb,124922.0,2013.0,1968.0,103.0,brown,man,5.0,5.0,diesel,1295.34
3539234,seat,alhambra,239000.0,2007.0,1968.0,103.0,blue,man,5.0,7.0,diesel,1295.34
3539237,volkswagen,caravelle,110000.0,2013.0,1968.0,103.0,black,man,4.0,9.0,diesel,1295.34
3539239,bmw,x5,440000.0,2001.0,2979.0,170.0,silver,auto,5.0,5.0,gasoline,1295.34
3539240,renault,megane,287000.0,2003.0,1870.0,88.0,blue,man,5.0,5.0,diesel,1295.34
3539243,mazda,3,201000.0,2007.0,2000.0,105.0,black,man,5.0,5.0,diesel,1295.34
3539244,skoda,rapid,9766.0,2015.0,1197.0,81.0,red,man,5.0,5.0,gasoline,1295.34
3539246,mercedes-benz,gl320-cdi,50191.0,2015.0,2987.0,190.0,black,auto,4.0,5.0,diesel,1295.34
3539247,volkswagen,fox,104322.0,2010.0,1198.0,40.0,white,man,5.0,4.0,gasoline,1295.34
3539248,renault,megane,125451.0,2011.0,1461.0,81.0,red,man,5.0,7.0,diesel,1295.34
3539249,skoda,fabia,174100.0,2001.0,1397.0,50.0,green,man,5.0,5.0,gasoline,1295.34
3539250,skoda,rapid,45600.0,2014.0,1197.0,77.0,blue,man,5.0,5.0,gasoline,1295.34
3539252,volkswagen,polo,33740.0,2012.0,1197.0,66.0,white,man,5.0,5.0,gasoline,1295.34
3539255,skoda,octavia,329040.0,2005.0,1968.0,103.0,brown,man,5.0,5.0,diesel,1295.34
3539256,skoda,octavia,28187.0,2016.0,1968.0,110.0,black,man,5.0,5.0,diesel,1295.34
3539257,skoda,fabia,250221.0,2006.0,1198.0,40.0,red,man,5.0,5.0,lpg,1295.34
3539258,peugeot,307,137700.0,2002.0,1587.0,80.0,blue,man,5.0,5.0,gasoline,1295.34
3539260,hyundai,ix35,75500.0,2011.0,1998.0,120.0,black,man,5.0,5.0,gasoline,1295.34
3539261,hyundai,ix35,63800.0,2011.0,1591.0,99.0,red,man,5.0,5.0,gasoline,1295.34
3539262,skoda,octavia,14709.0,2015.0,1395.0,110.0,red,man,5.0,5.0,gasoline,1295.34
3539265,skoda,yeti,11218.0,2015.0,1390.0,92.0,black,man,5.0,5.0,gasoline,1295.34
3539266,skoda,citigo,14530.0,2015.0,999.0,55.0,silver,man,5.0,4.0,gasoline,1295.34
3539267,volkswagen,golf,15828.0,2016.0,1395.0,92.0,silver,man,5.0,5.0,gasoline,1295.34
3539268,volkswagen,passat,25451.0,2016.0,1968.0,110.0,white,man,5.0,5.0,diesel,1295.34
3539269,skoda,octavia,24927.0,2015.0,1395.0,110.0,white,man,5.0,5.0,gasoline,1295.34
3539271,skoda,octavia,239034.0,1997.0,1595.0,74.0,red,man,5.0,5.0,gasoline,1295.34
3539272,volkswagen,passat,178429.0,1999.0,1896.0,85.0,silver,man,5.0,5.0,diesel,1295.34
3539273,hyundai,i30,99002.0,2011.0,1396.0,80.0,green,man,5.0,5.0,gasoline,1295.34
3539274,audi,a6,169136.0,2006.0,2967.0,165.0,silver,auto,5.0,5.0,diesel,1295.34
3539275,skoda,superb,30589.0,2015.0,1984.0,162.0,black,auto,5.0,5.0,gasoline,1295.34
